concurso,data,resultado
2362,14/04/2021, 03  20  22  32  35  50 
2352,13/03/2021, 09  17  38  41  49  55 
2365,24/04/2021, 01  17  28  37  44  50 
2360,08/04/2021, 10  15  21  24  29  45 
2366,28/04/2021, 04  27  33  35  38  41 
2368,04/05/2021, 04  07  13  25  36  58 
2363,17/04/2021, 06  14  24  34  39  58 
2370,08/05/2021, 07  31  37  42  44  56 
2371,12/05/2021, 04  15  30  36  39  48 
2372,15/05/2021, 03  19  25  44  46  57 
2373,19/05/2021, 23  24  26  44  49  60 
2356,27/03/2021, 03  10  25  36  51  58 
2374,22/05/2021, 12  13  25  37  39  41 
2369,06/05/2021, 04  09  17  19  37  60 
2376,29/05/2021, 12  14  17  18  19  22 
2377,02/06/2021, 05  18  29  35  43  44 
2367,30/04/2021, 05  23  29  34  53  60 
2380,12/06/2021, 11  16  20  24  39  53 
2378,05/06/2021, 11  37  38  41  49  54 
2379,09/06/2021, 02  08  26  32   46  56 
2382,19/06/2021, 06  09  19  38  53  55 
2364,22/04/2021, 20  33  42  44  51  56 
2375,26/05/2021, 02  06  44  46  53  58 
2381,16/06/2021, 07  23  32  41  42  47 
2349,03/03/2021, 05  10  25  32  49  54 
2346,20/02/2021, 03  04  11  40  42  58 
2383,23/06/2021, 13  15  16  20  40  41 
